Iter,O,D,aCost,bCost
122,N004,N002,0.516571428,1.352857143
122,N004,N003,0.566571428,1.3684714416666668
123,N001,N002,0.48314285700000004,1.337857143
123,N001,N003,0.5331428570000001,1.3755574830000001
123,N004,N002,0.516571428,1.352857143
123,N004,N003,0.566571428,1.3684714416666668
124,N001,N002,0.48314285700000004,1.337857143
124,N001,N003,0.5331428570000001,1.3755574830000001
124,N004,N002,0.516571428,1.352857143
124,N004,N003,0.566571428,1.3684714416666668
125,N001,N002,0.48314285700000004,1.337857143
125,N001,N003,0.5331428570000001,1.3755574830000001
125,N004,N002,0.516571428,1.352857143
125,N004,N003,0.566571428,1.3684714416666668
126,N001,N002,0.48314285700000004,1.337857143
126,N001,N003,0.5331428570000001,1.3755574830000001
126,N004,N002,0.516571428,1.352857143
126,N004,N003,0.566571428,1.3684714416666668
127,N001,N002,0.48314285700000004,1.337857143
127,N001,N003,0.5331428570000001,1.3755574830000001
127,N004,N002,0.516571428,1.352857143
127,N004,N003,0.566571428,1.3684714416666668
128,N001,N002,0.48314285700000004,1.337857143
128,N001,N003,0.5331428570000001,1.3755574830000001
128,N004,N002,0.516571428,1.352857143
128,N004,N003,0.566571428,1.3684714416666668
129,N001,N002,0.48314285700000004,1.337857143
129,N001,N003,0.5331428570000001,1.3755574830000001
129,N004,N002,0.516571428,1.352857143
129,N004,N003,0.566571428,1.3684714416666668
130,N001,N002,0.48314285700000004,1.337857143
130,N001,N003,0.5331428570000001,1.3755574830000001
130,N004,N002,0.516571428,1.352857143
130,N004,N003,0.566571428,1.3684714416666668
131,N001,N002,0.48314285700000004,1.337857143
131,N001,N003,0.5331428570000001,1.3755574830000001
131,N004,N002,0.516571428,1.352857143
131,N004,N003,0.566571428,1.3684714416666668
132,N001,N002,0.48314285700000004,1.337857143
132,N001,N003,0.5331428570000001,1.3755574830000001
132,N004,N002,0.516571428,1.352857143
132,N004,N003,0.566571428,1.3684714416666668
133,N001,N002,0.48314285700000004,1.337857143
133,N001,N003,0.5331428570000001,1.3755574830000001
133,N004,N002,0.516571428,1.352857143
133,N004,N003,0.566571428,1.3684714416666668
134,N001,N002,0.48314285700000004,1.337857143
134,N001,N003,0.5331428570000001,1.3755574830000001
134,N004,N002,0.516571428,1.352857143
134,N004,N003,0.566571428,1.3684714416666668
135,N001,N002,0.48314285700000004,1.337857143
135,N001,N003,0.5331428570000001,1.3755574830000001
135,N004,N002,0.516571428,1.352857143
135,N004,N003,0.566571428,1.3684714416666668
136,N001,N002,0.48314285700000004,1.337857143
136,N001,N003,0.5331428570000001,1.3755574830000001
136,N004,N002,0.516571428,1.352857143
136,N004,N003,0.566571428,1.3684714416666668
137,N001,N002,0.48314285700000004,1.337857143
137,N001,N003,0.5331428570000001,1.3755574830000001
137,N004,N002,0.516571428,1.352857143
137,N004,N003,0.566571428,1.3684714416666668
138,N001,N002,0.48314285700000004,1.337857143
138,N001,N003,0.5331428570000001,1.3755574830000001
138,N004,N002,0.516571428,1.352857143
138,N004,N003,0.566571428,1.3684714416666668
